COMPANY ID,  MAIN TYPE  ,SUB TYPE, SHORT NAME ,DATE,PRICE HIGH,PRICE LOW,CLOSE PRICE,OPEN PRICE,TRADE VOLUME,SHARE VOLUME,TURNOVER
JKH,N,0,JKH,07-Feb-22,159.75,156,157,158,206,"2,605,196","408,972,005.00"
JKH,N,0,JKH,08-Feb-22,157.25,155,157,157,307,"1,216,025","189,106,022.50"
JKH,N,0,JKH,09-Feb-22,157.75,153.5,155.25,157,138,"500,306","77,948,582.00"
JKH,N,0,JKH,10-Feb-22,157.25,152,156.5,157,242,"654,586","101,492,798.75"
JKH,N,0,JKH,11-Feb-22,157,153.25,157,155,100,"245,517","38,500,329.50"
JKH,N,0,JKH,14-Feb-22,157,155.25,156.5,157,90,"126,781","19,771,361.25"
JKH,N,0,JKH,15-Feb-22,161.75,155.5,159.5,157.5,189,"422,071","66,514,786.25"
JKH,N,0,JKH,17-Feb-22,159.5,155.25,157.75,159.5,74,"93,747","14,750,291.00"
JKH,N,0,JKH,18-Feb-22,157.75,155,155.25,157.75,91,"169,653","26,469,209.75"
JKH,N,0,JKH,21-Feb-22,156,149,150,155,221,"466,644","70,778,525.50"
JKH,N,0,JKH,22-Feb-22,153,148,150,149.5,157,"227,525","34,119,578.50"
JKH,N,0,JKH,23-Feb-22,150,144,149.25,149,321,"415,865","61,180,858.25"
JKH,N,0,JKH,24-Feb-22,149,144,145,149,362,"260,532","37,916,292.25"
JKH,N,0,JKH,25-Feb-22,148,143,147,145,236,"326,722","47,607,066.00"
JKH,N,0,JKH,28-Feb-22,149.5,146.75,149,148,195,"354,020","52,673,897.25"
JKH,N,0,JKH,02-Mar-22,149.5,147,148,149,126,"140,264","20,782,326.25"
JKH,N,0,JKH,03-Mar-22,148,145,146,148,161,"153,793","22,598,813.25"
JKH,N,0,JKH,04-Mar-22,146.5,145,145.75,146,256,"1,726,127","249,827,603.75"
JKH,N,0,JKH,07-Mar-22,146.75,144,144.5,146,160,"1,281,852","185,472,029.25"
JKH,N,0,JKH,08-Mar-22,146,142.5,143,145.5,268,"396,719","57,123,751.00"
JKH,N,0,JKH,09-Mar-22,143,141,141.25,143,263,"712,383","100,658,973.00"
JKH,N,0,JKH,10-Mar-22,150.75,140.25,149.5,141.25,180,"150,596","22,117,715.00"
JKH,N,0,JKH,11-Mar-22,151,149,149.25,150,252,"389,954","58,349,526.25"
JKH,N,0,JKH,14-Mar-22,151,145,148.25,151,84,"75,569","11,213,552.00"
JKH,N,0,JKH,15-Mar-22,148,145,146,146.5,61,"33,153","4,822,302.00"
JKH,N,0,JKH,16-Mar-22,152.75,145.25,151.75,145.25,300,"391,463","58,247,305.75"
JKH,N,0,JKH,18-Mar-22,158,151,156.5,151.75,285,"237,274","36,916,090.75"
JKH,N,0,JKH,21-Mar-22,157.5,153,157,156,319,"477,872","74,833,756.25"
JKH,N,0,JKH,22-Mar-22,157.5,155,156.75,157.5,80,"68,842","10,777,846.50"
JKH,N,0,JKH,23-Mar-22,158,155,157,157,241,"2,392,768","375,898,288.25"
JKH,N,0,JKH,24-Mar-22,158,156,156.75,157.5,99,"740,447","116,263,070.50"
JKH,N,0,JKH,25-Mar-22,158,156,157,157.5,178,"2,325,139","365,001,947.00"
JKH,N,0,JKH,28-Mar-22,158.5,154,155,158.5,160,"400,419","62,085,955.00"
JKH,N,0,JKH,29-Mar-22,156,150,152,154.75,154,"596,640","92,145,118.25"
JKH,N,0,JKH,30-Mar-22,152,142,150,152,221,"839,244","123,714,439.00"
JKH,N,0,JKH,31-Mar-22,146,143,145,145,110,"435,342","63,129,056.75"
JKH,N,0,JKH,01-Apr-22,170,123.75,149,144,87,"67,551","10,063,774.00"
JKH,N,0,JKH,04-Apr-22,150,135,142,145,114,"186,294","26,636,598.75"
JKH,N,0,JKH,05-Apr-22,150,142,147.25,142,84,"170,439","24,931,819.00"
JKH,N,0,JKH,06-Apr-22,149.5,144.5,145,149.5,79,"1,321,459","191,624,326.25"
JKH,N,0,JKH,07-Apr-22,145,141.5,142,145,54,"38,365","5,464,285.00"
JKH,N,0,JKH,08-Apr-22,141.75,139,140.25,141,129,"347,802","48,672,599.50"
JKH,N,0,JKH,25-Apr-22,135,117,130.25,135,92,"64,412","8,393,925.50"
JKH,N,0,JKH,26-Apr-22,120,117,118.25,117,74,"33,628","3,963,082.00"
JKH,N,0,JKH,27-Apr-22,129,116.25,122.25,116.25,227,"186,214","22,387,516.25"
JKH,N,0,JKH,28-Apr-22,122.25,118.75,119.75,122.25,315,"858,111","102,757,653.75"
JKH,N,0,JKH,29-Apr-22,135,121.75,123,122,134,"59,290","7,414,798.75"
JKH,N,0,JKH,04-May-22,125,121.75,123.75,124,73,"93,854","11,593,087.25"
JKH,N,0,JKH,05-May-22,129.75,123.5,129,123.5,82,"793,860","102,263,044.75"
JKH,N,0,JKH,06-May-22,128,124,124,128,66,"27,352","3,427,080.25"
JKH,N,0,JKH,09-May-22,125,120,124.75,120,95,"35,084","4,327,834.25"
JKH,N,0,JKH,12-May-22,125,123.5,125,125,166,"150,965","18,850,853.50"
JKH,N,0,JKH,13-May-22,140,127,127.5,129,154,"390,982","49,559,826.25"
JKH,N,0,JKH,17-May-22,138,131,133.25,138,67,"32,403","4,343,366.25"
JKH,N,0,JKH,18-May-22,138.5,134,135.25,134.75,125,"85,685","11,588,754.75"
JKH,N,0,JKH,19-May-22,135.5,133,133.5,135.5,74,"57,751","7,757,641.75"
JKH,N,0,JKH,20-May-22,136,132,132.25,135,56,"390,585","52,669,078.75"
JKH,N,0,JKH,23-May-22,135.5,132.5,132.75,135.5,145,"467,267","62,252,632.25"
